tower,lat,lon,time_UTC,doy,albedo,elevation_km,AOT,COT,vapor_gccm,ozone_cm,SZA,KG
US-Ha2,42.5393,-72.1779,2020-04-20 11:54:42,111,0.0488307753333333,0.33340325000000004,0.1591547,3.8079896,0.6010603,0.35456046,70.07821346629201,4
US-Ha2,42.5393,-72.1779,2020-04-29 14:28:07,120,0.10375236,0.33297131333333335,0.10319801,0.1473178,1.1077907,0.34703666,41.17137977315284,4
US-Ha2,42.5393,-72.1779,2020-06-18 18:47:51,170,0.1242289846666666,0.33184957333333337,0.065353155,0.9673474,3.0136218,0.31392696,31.17935974575374,4
US-Ha2,42.5393,-72.1779,2020-06-19 18:00:02,171,0.1333480233333333,0.33238745000000003,0.07904832,1.3341215,2.4580133,0.32437268,24.14801761503059,4
US-Ha2,42.5393,-72.1779,2020-06-21 11:31:41,173,0.14250316,0.33455250000000003,0.10327963,0.42051634,2.9441247,0.32497752,66.72735411113293,4
US-Ha2,42.5393,-72.1779,2020-06-22 17:13:10,174,0.056800946,0.33361566666666664,0.18787554,28.926071,3.944856,0.32026568,19.749678458406173,4
US-Ha2,42.5393,-72.1779,2020-06-23 16:25:09,175,0.07566949,0.33214366,0.15972626,19.76172,3.0814395,0.31680155,19.712940306665747,4
US-Ha2,42.5393,-72.1779,2020-07-04 12:28:49,186,0.12842523,0.33269004333333335,0.13275899,0.014049396,2.4565902,0.31970897,56.63243754102824,4
US-Ha2,42.5393,-72.1779,2020-07-25 22:08:11,207,0.13480766,0.3338264933333333,0.07954751,0.03375496,2.3527832,0.30656448,69.5664415198466,4
US-Ha2,42.5393,-72.1779,2020-07-29 20:33:20,211,0.13086593,0.33389670666666665,0.11701559,68.57256,3.2135746,0.3150713,52.73140848435587,4
US-Ha2,42.5393,-72.1779,2020-08-10 15:53:09,223,0.11922149,0.33386191666666665,0.15972023,32.503284,3.257204,0.30934224,29.54285579986956,4
US-Ha2,42.5393,-72.1779,2020-08-20 17:39:50,233,0.1508014,0.3333533033333333,0.043107774,0.07961243,1.8835764,0.3045016,32.13444827140493,4
US-Ha2,42.5393,-72.1779,2020-08-28 14:32:56,241,0.16688636,0.33229505,0.19336264,0.004858958,1.9577669,0.29701146,44.287044397569986,4
US-Ha2,42.5393,-72.1779,2020-10-05 17:21:34,279,0.0404326223333333,0.3343708133333333,0.092948906,-0.1426276,1.6793616,0.31702748,47.92461863749542,4
US-Ha2,42.5393,-72.1779,2020-10-08 16:35:44,282,0.0970768,0.3326263333333333,0.03736969,0.0,0.7682627,0.28176406,48.58128615942958,4
US-Ha2,42.5393,-72.1779,2021-04-03 18:31:15,93,0.1077068,0.33318782333333335,0.110200316,0.0,0.3618752,0.42699674,43.877761926495666,4
US-Ha2,42.5393,-72.1779,2021-06-01 19:20:12,152,0.0311186466666666,0.3334765033333333,0.18689941,2.1015387,1.8803675,0.34497648,37.60994275017809,4
US-Ha2,42.5393,-72.1779,2021-06-06 17:00:15,157,0.1064717179999999,0.33308700666666663,0.15303336,0.689374,2.9820578,0.32966647,20.107499792531957,4
US-Ha2,42.5393,-72.1779,2021-06-18 12:21:38,169,0.1086835166666666,0.3328760566666667,0.08578896,0.1329548,1.5031912,0.33062196,57.64053230784929,4
US-Ha2,42.5393,-72.1779,2021-06-23 16:30:30,174,0.1125242833333333,0.3204789,0.041799013,0.0,1.1595693,0.35905698,19.457391479020337,4
US-Ha2,42.5393,-72.1779,2021-06-24 15:42:38,175,0.112520207,0.34630667,0.059388794,-0.0001815714,1.1202805,0.3420809,23.49998479435226,4
US-Ha2,42.5393,-72.1779,2021-06-27 14:58:32,178,0.14655812,0.3332398733333334,0.2088043,6.608331,3.0574713,0.29510325,29.786253245427233,4
US-Ha2,42.5393,-72.1779,2021-06-28 14:11:21,179,0.14748809,0.3331765633333334,0.14606923,-0.00046388246,3.4630992,0.29751247,37.71910244696277,4
US-Ha2,42.5393,-72.1779,2021-07-27 20:58:14,208,0.049759378,0.33397146,0.39212677,10.239214,3.1160643,0.32702613,56.854048430835086,4
US-Ha2,42.5393,-72.1779,2021-08-27 14:20:12,239,0.0821103233333333,0.33296788666666666,0.22946976,0.08886777,3.3651898,0.2872277,45.6291722062493,4
US-Ha2,42.5393,-72.1779,2021-10-25 15:24:21,298,0.0774674733333333,0.33155664,0.18979642,68.8262,2.6183023,0.26945993,57.708381034156204,4
