,tower,lat,lon,orbit,scene,tile,time_UTC,date_UTC,doy,time_solar,AOT,COT,vapor_gccm,ozone_cm,SZA,KG,Unnamed: 0,lat_Y,lon_Y,orbit_Y,scene_Y,tile_Y,time_UTC_Y,time_solar_Y,BESSinst,ESI,ESIdaily,ESIdailyUncertainty,ETdaily,ETdailyUncertainty,ETinstUncertainty,EmisWB,GPP,LST,LST_err,MOD16inst,NDVI-UQ,PET,PTJPLSMcanopy,PTJPLSMinst,PTJPLSMinterception,PTJPLSMsoil,RH,Rg,Rn,SM,STICcanopy,STICinst,Ta,WUE,albedo-UQ,height,radiance_1,radiance_2,radiance_3,radiance_4,radiance_5,view_zenith,year,Ta_C,ST_K,NDVI,albedo,ST_C,elevation_km,Ra,UV,VIS,NIR,VISdiff,NIRdiff,VISdir,NIRdir
0,US-Ha2,42.5393,-72.1779,9254,9,18TYN,2020-02-22 00:00:00,2020-02-22,53,2020-02-21 19:11:17.304,0.0881947949528694,-0.003143185051158,0.4182121157646179,0.3717343211174011,110.4064818988766,4.0,1145,42.5393,-72.1779,9254,9,18TYN,2/22/20 16:51,02:25.3,112.87177,0.99999994,,,0.9437895,,93.748764,0.972,6.4226155,274.04,0.64,313.85596,,123.32103,0.0,123.32102,0.8497281,0.15027189,1.0,0.0,314.12592,0.2840934,0.0,71.09868,-2.5125194,0.0,,344.78705,,5.415923,,6.1273494,5.9044566,6.19539,2020,-2.5125194,274.04,0.7163455,0.027716992,0.89,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,US-Ha2,42.5393,-72.1779,10150,9,18TYN,2020-04-20 00:00:00,2020-04-20,111,2020-04-19 19:11:17.304,0.237341970205307,3.0020275115966797,1.4754934310913086,0.37161785364151,95.12833440171975,4.0,1175,42.5393,-72.1779,10150,9,18TYN,4/20/20 11:54,05:59.3,0.0,0.0,1.0,0.00252,0.005,0.025199998,0.0,0.94,5.264951,308.54,0.84,0.0,,0.0,0.0,0.0,0.0,0.0,0.6304005,0.0,0.0,0.28666002,0.0,0.0,4.8228507,0.0,,343.32736,,10.12103,,9.864844,9.096849,28.344906,2020,4.8228507,308.54,0.7082878,0.0364383,35.39,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,US-Ha2,42.5393,-72.1779,10352,9,18TYN,2020-05-03 00:00:00,2020-05-03,124,2020-05-02 19:11:17.304,0.1074835807085037,2.628000259399414,1.590333342552185,0.3278409540653229,92.1472573426848,4.0,1181,42.5393,-72.1779,10352,9,18TYN,5/3/20 12:53,05:03.3,40.53043,0.9292676,,,0.71864605,,9.856022,0.966,6.9670157,286.32,1.48,61.88599,,39.366978,0.43428555,36.44086,0.40901783,0.14989524,0.8149739,0.0,61.981674,0.276035,0.38111606,46.453644,11.62933,0.0,,344.5768,,6.7777114,,7.4581895,6.885617,1.1620464,2020,11.62933,286.32,0.73797673,0.07705091,13.17,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,US-Ha2,42.5393,-72.1779,10684,7,18TYN,2020-05-24 00:00:00,2020-05-24,145,2020-05-23 19:11:17.304,0.0943385139107704,0.0012606707168743,1.9106597900390625,0.3176257908344269,88.45177539985272,4.0,1189,42.5393,-72.1779,10684,7,18TYN,5/24/20 22:33,45:06.3,,,,,,,,0.978,,288.76,1.4,,,,,,,,,10.915320493083335,,,,,,,,343.73755,,7.2399426,,7.8334427,7.2160645,2.5339785,2020,,288.76,0.814637,0.08179149,15.61,0.058,35.081858982424485,0.7255235933049904,4.7958276749473425,5.344563185468207,4.196244385915643,2.4841954974905023,0.5995832890316999,2.8603676879777047
4,US-Ha2,42.5393,-72.1779,11069,8,18TYN,2020-06-18 00:00:00,2020-06-18,170,2020-06-17 19:11:17.304,0.0504743196070194,0.0387958772480487,1.4941413402557373,0.3338151276111603,86.47142400839097,4.0,1201,42.5393,-72.1779,11069,8,18TYN,6/18/20 18:47,59:08.3,300.98196,0.79822886,1.0,0.006,5.2757643,0.06,107.855194,0.974,35.481125,301.18,2.0,570.12616,,492.40936,0.87300617,392.2633,0.11888072,0.007476151,0.5566634,28.201454753908028,571.15875,0.1465698,0.8101111,309.87787,26.243547,0.0,,342.3835,,8.72701,,9.1975565,8.165065,19.196161,2020,26.243547,301.18,0.90029097,0.115091234,28.03,0.058,79.43209118495886,1.9038266689399912,12.45328152725739,13.73875173278941,9.54172002059134,7.704182019958024,2.9115615066660503,6.034569712831386
5,US-Ha2,42.5393,-72.1779,11084,9,18TYN,2020-06-19 00:00:00,2020-06-19,171,2020-06-18 19:11:17.304,0.0662656873464584,15.98914623260498,3.4774329662323,0.3149583339691162,86.4541724132588,4.0,1203,42.5393,-72.1779,11084,9,18TYN,6/19/20 18:00,11:19.3,365.27325,0.81606174,1.0,0.00528,2.431294,0.0528,235.27469,0.948,38.60171,297.76,1.76,659.4489,,571.0416,0.8796811,466.10544,0.10843119,0.011887695,0.54709166,11.024283713842784,660.68384,0.18505152,0.0,3.7182782,26.553339,0.0,,341.69525,,8.434319,,8.843798,7.838355,19.875446,2020,26.553339,297.76,0.90262717,0.12387139,24.61,0.058,79.81033889450345,0.9646147877814321,5.64265804939707,4.433716702889226,5.163011804312437,4.433682083504933,0.47964624508463327,3.461938429349942e-05
6,US-Ha2,42.5393,-72.1779,11111,7,18TYN,2020-06-21 00:00:00,2020-06-21,173,2020-06-20 19:11:17.304,0.1434660851955413,24.729324340820312,3.479378461837769,0.3253084421157837,86.43440996399066,4.0,1205,42.5393,-72.1779,11111,7,18TYN,6/21/20 11:31,42:58.3,138.62682,0.9154473,1.0,0.00588,5.13012635,0.0588,16.326181,0.968,16.931982,294.22,1.96,156.84442,,124.36382,0.35426044,114.34515,0.6320001,0.011935064,0.87469935,8.82400437791253,157.00851,0.19521125,0.15400438,145.43298,19.946375,0.0,,344.604,,7.863628,,8.406895,7.7006407,15.823526,2020,19.946375,294.22,0.9041179,0.13302732,21.07,0.058,80.23764567145669,0.7699910408404997,4.591612046457965,3.474921766789484,4.201309246144448,3.4748969122121802,0.39030280031351694,2.4854577303834446e-05
7,US-Ha2,42.5393,-72.1779,11130,8,18TYN,2020-06-22 00:00:00,2020-06-22,174,2020-06-21 19:11:17.304,0.1389223933219909,43.26383209228515,3.818675994873047,0.3170215487480163,86.43190407423221,4.0,1207,42.5393,-72.1779,11130,8,18TYN,6/22/20 17:13,24:27.3,12.111602,0.8234355,1.0,0.00756,6.23573825,0.0756,234.34837,0.946,3.9012663,305.66,2.52,652.9692,,571.39923,0.8343489,470.09558,0.14022923,0.023921145,0.587686,6.263884201837912,654.3392,0.18328612,0.57633615,336.7129,27.537062,0.0,,344.2863,,8.756077,,9.173039,8.056535,17.22896,2020,27.537062,305.66,0.88128084,0.052665044,32.51,0.058,80.28668843990847,0.5579118902214865,3.4129478203935517,2.3107340078266314,3.122836087488018,2.3107198215872216,0.2901117329055336,1.418623940985242e-05
8,US-Ha2,42.5393,-72.1779,11145,9,18TYN,2020-06-23 00:00:00,2020-06-23,175,2020-06-22 19:11:17.304,0.1239195019006729,22.45074462890625,3.6065444946289062,0.3173749446868896,86.43431524043191,4.0,1209,42.5393,-72.1779,11145,9,18TYN,6/23/20 16:25,36:26.3,107.70536,0.821223,1.0,0.00636,5.14191615,0.063599996,285.60895,0.942,10.844273,297.84,2.12,715.09717,,631.38635,0.8558444,516.838,0.1264963,0.017554061,0.569815,9.118791966043066,716.419,0.18793055,0.6149009,19.285522,27.807955,0.0,,343.54108,,8.359377,,8.883454,7.732497,21.534407,2020,27.807955,297.84,0.89397,0.07113754,24.69,0.058,80.22603630428735,0.7858897769267555,4.73468629098351,3.6074274470805814,4.332221946516635,3.6074014297293653,0.40246434446687473,2.6017351216101048e-05
9,US-Ha2,42.5393,-72.1779,11172,9,18TYN,2020-06-25 00:00:00,2020-06-25,177,2020-06-24 19:11:17.304,0.0809153541922569,1.539964199066162,2.1939456462860107,0.3137141168117523,86.45387792072722,4.0,1211,42.5393,-72.1779,11172,9,18TYN,6/25/20 09:57,08:19.3,,,,,,,,0.958,,283.26,1.56,,,,,,,,,19.86090737480736,,,,,,,,344.43027,,6.6690335,,7.28428,6.740984,17.824997,2020,,283.26,0.9051902,0.10961254,10.11,0.058,79.77598633009629,1.5391308083344637,9.345393716566763,8.959033782848879,4.5520140056212295,8.95680166273954,4.793379710945533,0.002232120109338709
