,tower,orbit,scene,tile,time_UTC,product,variable,med3x3,vegetation,climate,MAT_C,MAP_mm,elevation,lat,lon
0,US-Ha1,8461,9,18TYN,2020-01-02 13:15:28,L1CT_RAD,radiance_2,3.851051,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
1,US-Ha1,8461,9,18TYN,2020-01-02 13:15:28,L1CT_RAD,radiance_4,4.5596924,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
2,US-Ha1,8461,9,18TYN,2020-01-02 13:15:28,L1CT_RAD,radiance_5,4.4610705,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
3,US-Ha2,8461,9,18TYN,2020-01-02 13:15:28,L1CT_RAD,radiance_2,3.8612134,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
4,US-Ha2,8461,9,18TYN,2020-01-02 13:15:28,L1CT_RAD,radiance_4,4.615571,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
5,US-Ha2,8461,9,18TYN,2020-01-02 13:15:28,L1CT_RAD,radiance_5,4.553022,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
6,US-xHA,8461,9,18TYN,2020-01-02 13:15:28,L1CT_RAD,radiance_2,3.805592,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
7,US-xHA,8461,9,18TYN,2020-01-02 13:15:28,L1CT_RAD,radiance_4,4.5254655,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
8,US-xHA,8461,9,18TYN,2020-01-02 13:15:28,L1CT_RAD,radiance_5,4.4436884,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
9,US-Ha1,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,EmisWB,0.962,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
10,US-Ha1,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,LST,258.14,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
11,US-Ha1,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,LST_err,0.76,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
12,US-Ha1,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,height,324.83325,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
13,US-Ha1,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,view_zenith,10.531398,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
14,US-Ha2,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,EmisWB,0.958,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
15,US-Ha2,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,LST,258.84,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
16,US-Ha2,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,LST_err,0.76,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
17,US-Ha2,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,height,343.9046,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
18,US-Ha2,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,view_zenith,10.389901,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
19,US-xHA,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,EmisWB,0.962,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
20,US-xHA,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,LST,257.8,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
21,US-xHA,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,LST_err,0.76,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
22,US-xHA,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,height,329.43893,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
23,US-xHA,8461,9,18TYN,2020-01-02 13:15:28,L2T_LSTE,view_zenith,10.520099,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
24,US-Ha1,8476,9,18TYN,2020-01-03 12:27:27,L1CT_RAD,radiance_2,3.0329883,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
25,US-Ha1,8476,9,18TYN,2020-01-03 12:27:27,L1CT_RAD,radiance_4,3.7328753,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
26,US-Ha1,8476,9,18TYN,2020-01-03 12:27:27,L1CT_RAD,radiance_5,3.8452222,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
27,US-Ha2,8476,9,18TYN,2020-01-03 12:27:27,L1CT_RAD,radiance_2,2.9446788,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
28,US-Ha2,8476,9,18TYN,2020-01-03 12:27:27,L1CT_RAD,radiance_4,3.6360788,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
29,US-Ha2,8476,9,18TYN,2020-01-03 12:27:27,L1CT_RAD,radiance_5,3.724427,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
30,US-xHA,8476,9,18TYN,2020-01-03 12:27:27,L1CT_RAD,radiance_2,3.0640903,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
31,US-xHA,8476,9,18TYN,2020-01-03 12:27:27,L1CT_RAD,radiance_4,3.744593,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
32,US-xHA,8476,9,18TYN,2020-01-03 12:27:27,L1CT_RAD,radiance_5,3.8452222,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
33,US-Ha1,8854,7,18TYN,2020-01-27 21:18:11,L1CT_RAD,radiance_2,3.6648424,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
34,US-Ha1,8854,7,18TYN,2020-01-27 21:18:11,L1CT_RAD,radiance_4,4.448172,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
35,US-Ha1,8854,7,18TYN,2020-01-27 21:18:11,L1CT_RAD,radiance_5,4.5139694,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
36,US-Ha2,8854,7,18TYN,2020-01-27 21:18:11,L1CT_RAD,radiance_2,3.6535423,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
37,US-Ha2,8854,7,18TYN,2020-01-27 21:18:11,L1CT_RAD,radiance_4,4.4664135,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
38,US-Ha2,8854,7,18TYN,2020-01-27 21:18:11,L1CT_RAD,radiance_5,4.4957976,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
39,US-xHA,8854,7,18TYN,2020-01-27 21:18:11,L1CT_RAD,radiance_2,3.653768,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
40,US-xHA,8854,7,18TYN,2020-01-27 21:18:11,L1CT_RAD,radiance_4,4.4692397,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
41,US-xHA,8854,7,18TYN,2020-01-27 21:18:11,L1CT_RAD,radiance_5,4.5210667,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
42,US-Ha1,8915,7,18TYN,2020-01-31 19:44:43,L1CT_RAD,radiance_2,3.7570167,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
43,US-Ha1,8915,7,18TYN,2020-01-31 19:44:43,L1CT_RAD,radiance_4,4.5055795,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
44,US-Ha1,8915,7,18TYN,2020-01-31 19:44:43,L1CT_RAD,radiance_5,4.232348,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
45,US-Ha2,8915,7,18TYN,2020-01-31 19:44:43,L1CT_RAD,radiance_2,3.7695236,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
46,US-Ha2,8915,7,18TYN,2020-01-31 19:44:43,L1CT_RAD,radiance_4,4.531239,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
47,US-Ha2,8915,7,18TYN,2020-01-31 19:44:43,L1CT_RAD,radiance_5,4.2605505,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
48,US-xHA,8915,7,18TYN,2020-01-31 19:44:43,L1CT_RAD,radiance_2,3.7720866,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
49,US-xHA,8915,7,18TYN,2020-01-31 19:44:43,L1CT_RAD,radiance_4,4.4959903,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
50,US-xHA,8915,7,18TYN,2020-01-31 19:44:43,L1CT_RAD,radiance_5,4.2644854,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
51,US-Ha1,9037,9,18TYN,2020-02-08 16:37:37,L1CT_RAD,radiance_2,3.8309772,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
52,US-Ha1,9037,9,18TYN,2020-02-08 16:37:37,L1CT_RAD,radiance_4,4.5403285,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
53,US-Ha1,9037,9,18TYN,2020-02-08 16:37:37,L1CT_RAD,radiance_5,4.4539185,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
54,US-Ha2,9037,9,18TYN,2020-02-08 16:37:37,L1CT_RAD,radiance_2,3.529145,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
55,US-Ha2,9037,9,18TYN,2020-02-08 16:37:37,L1CT_RAD,radiance_4,4.2995625,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
56,US-Ha2,9037,9,18TYN,2020-02-08 16:37:37,L1CT_RAD,radiance_5,4.279849,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
57,US-xHA,9037,9,18TYN,2020-02-08 16:37:37,L1CT_RAD,radiance_2,3.8215287,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
58,US-xHA,9037,9,18TYN,2020-02-08 16:37:37,L1CT_RAD,radiance_4,4.5116196,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
59,US-xHA,9037,9,18TYN,2020-02-08 16:37:37,L1CT_RAD,radiance_5,4.4534626,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
60,US-Ha1,9159,9,18TYN,2020-02-16 13:30:41,L1CT_RAD,radiance_2,3.9815564,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
61,US-Ha1,9159,9,18TYN,2020-02-16 13:30:41,L1CT_RAD,radiance_4,4.734692,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
62,US-Ha1,9159,9,18TYN,2020-02-16 13:30:41,L1CT_RAD,radiance_5,4.7733216,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
63,US-Ha2,9159,9,18TYN,2020-02-16 13:30:41,L1CT_RAD,radiance_2,3.9595716,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
64,US-Ha2,9159,9,18TYN,2020-02-16 13:30:41,L1CT_RAD,radiance_4,4.7572446,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
65,US-Ha2,9159,9,18TYN,2020-02-16 13:30:41,L1CT_RAD,radiance_5,4.762508,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
66,US-xHA,9159,9,18TYN,2020-02-16 13:30:41,L1CT_RAD,radiance_2,3.981185,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
67,US-xHA,9159,9,18TYN,2020-02-16 13:30:41,L1CT_RAD,radiance_4,4.740139,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
68,US-xHA,9159,9,18TYN,2020-02-16 13:30:41,L1CT_RAD,radiance_5,4.77691,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
69,US-Ha1,9220,7,18TYN,2020-02-20 11:56:56,L1CT_RAD,radiance_2,3.994151,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
70,US-Ha1,9220,7,18TYN,2020-02-20 11:56:56,L1CT_RAD,radiance_4,4.7287188,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
71,US-Ha1,9220,7,18TYN,2020-02-20 11:56:56,L1CT_RAD,radiance_5,4.7219024,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
72,US-Ha2,9220,7,18TYN,2020-02-20 11:56:56,L1CT_RAD,radiance_2,4.0451617,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
73,US-Ha2,9220,7,18TYN,2020-02-20 11:56:56,L1CT_RAD,radiance_4,4.7727184,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
74,US-Ha2,9220,7,18TYN,2020-02-20 11:56:56,L1CT_RAD,radiance_5,4.803082,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
75,US-xHA,9220,7,18TYN,2020-02-20 11:56:56,L1CT_RAD,radiance_2,3.9900663,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
76,US-xHA,9220,7,18TYN,2020-02-20 11:56:56,L1CT_RAD,radiance_4,4.729452,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
77,US-xHA,9220,7,18TYN,2020-02-20 11:56:56,L1CT_RAD,radiance_5,4.717536,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
78,US-Ha1,9254,9,18TYN,2020-02-22 16:51:08,L1CT_RAD,radiance_2,5.418226,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
79,US-Ha1,9254,9,18TYN,2020-02-22 16:51:08,L1CT_RAD,radiance_4,6.143274,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
80,US-Ha1,9254,9,18TYN,2020-02-22 16:51:08,L1CT_RAD,radiance_5,5.8654056,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
81,US-Ha2,9254,9,18TYN,2020-02-22 16:51:08,L1CT_RAD,radiance_2,5.415923,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
82,US-Ha2,9254,9,18TYN,2020-02-22 16:51:08,L1CT_RAD,radiance_4,6.1273494,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
83,US-Ha2,9254,9,18TYN,2020-02-22 16:51:08,L1CT_RAD,radiance_5,5.9044566,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
84,US-xHA,9254,9,18TYN,2020-02-22 16:51:08,L1CT_RAD,radiance_2,5.402555,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
85,US-xHA,9254,9,18TYN,2020-02-22 16:51:08,L1CT_RAD,radiance_4,6.113427,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
86,US-xHA,9254,9,18TYN,2020-02-22 16:51:08,L1CT_RAD,radiance_5,5.866285,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
87,US-Ha1,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,EmisWB,0.97,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
88,US-Ha1,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,LST,274.14,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
89,US-Ha1,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,LST_err,0.64,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
90,US-Ha1,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,height,324.29752,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
91,US-Ha1,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,view_zenith,6.1487923,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
92,US-Ha2,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,EmisWB,0.972,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
93,US-Ha2,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,LST,274.04,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
94,US-Ha2,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,LST_err,0.64,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
95,US-Ha2,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,height,344.78705,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
96,US-Ha2,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,view_zenith,6.19539,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
97,US-xHA,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,EmisWB,0.97,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
98,US-xHA,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,LST,273.98,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
99,US-xHA,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,LST_err,0.64,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
100,US-xHA,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,height,330.7453,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
101,US-xHA,9254,9,18TYN,2020-02-22 16:51:08,L2T_LSTE,view_zenith,6.171574,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
102,US-Ha1,9376,8,18TYN,2020-03-01 13:43:39,L1CT_RAD,radiance_2,3.65432,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
103,US-Ha1,9376,8,18TYN,2020-03-01 13:43:39,L1CT_RAD,radiance_4,4.485748,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
104,US-Ha1,9376,8,18TYN,2020-03-01 13:43:39,L1CT_RAD,radiance_5,4.236463,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
105,US-Ha2,9376,8,18TYN,2020-03-01 13:43:39,L1CT_RAD,radiance_2,3.5758696,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
106,US-Ha2,9376,8,18TYN,2020-03-01 13:43:39,L1CT_RAD,radiance_4,4.3760595,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
107,US-Ha2,9376,8,18TYN,2020-03-01 13:43:39,L1CT_RAD,radiance_5,4.203995,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
108,US-xHA,9376,8,18TYN,2020-03-01 13:43:39,L1CT_RAD,radiance_2,3.5672362,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
109,US-xHA,9376,8,18TYN,2020-03-01 13:43:39,L1CT_RAD,radiance_4,4.390308,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
110,US-xHA,9376,8,18TYN,2020-03-01 13:43:39,L1CT_RAD,radiance_5,4.214472,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
111,US-Ha1,9437,9,18TYN,2020-03-05 12:09:52,L1CT_RAD,radiance_2,5.093984,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
112,US-Ha1,9437,9,18TYN,2020-03-05 12:09:52,L1CT_RAD,radiance_4,5.7989225,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
