tower,time_UTC,LE_insitu,H_insitu,Rn_insitu,G_insitu
US-Mpj,2019-01-31 21:30:00,49.11217,267.85355,401.65894,
US-Mpj,2019-02-18 22:30:00,20.038459,275.75351,380.90508,
US-Mpj,2019-06-09 18:30:00,36.815964,461.63438,763.3938,
US-Mpj,2019-06-12 17:30:00,39.612234,448.45742,709.87839,
US-Mpj,2019-06-20 14:00:00,23.355958,67.809362,145.58896,
US-Mpj,2019-06-21 21:30:00,34.045893,479.70832,637.00631,
US-Mpj,2019-06-25 20:00:00,36.819226,432.94291,712.31123,
US-Mpj,2019-06-29 18:00:00,88.109088,415.22919,706.25948,
US-Mpj,2019-07-02 17:00:00,89.808026,423.28319,,
US-Mpj,2019-07-10 14:00:00,,,117.9652,
US-Mpj,2019-07-27 00:00:00,,78.765321,-2.229683,
US-Mpj,2019-07-30 22:00:00,34.654375,250.72921,473.00833,
US-Mpj,2019-08-02 21:30:00,127.99553,488.40025,,
US-Mpj,2019-08-10 18:00:00,,322.37417,698.18915,
US-Mpj,2019-08-14 16:30:00,,292.52851,397.77653,
US-Mpj,2019-08-17 15:30:00,29.468029,194.80648,349.84703,
US-Mpj,2019-08-19 22:00:00,,436.26752,598.1072,
US-Mpj,2019-08-23 20:30:00,19.847288,318.00211,,
US-Mpj,2019-09-07 14:30:00,6.3283157,60.655309,118.52577,
US-Mpj,2019-10-05 20:00:00,,297.18275,623.46415,
US-ONA,2019-01-29 20:30:00,138.097,121.329,358.5928,35.29329125
US-ONA,2019-02-15 14:00:00,109.301,61.0294,,
US-ONA,2019-02-21 20:00:00,,,521.6538,53.7562575
US-ONA,2019-05-30 20:30:00,173.751,193.457,517.8497,24.8486575
US-ONA,2019-09-25 21:30:00,185.412,36.1287,444.1116,26.4438575
US-ONA,2019-12-06 17:00:00,144.219,153.182,388.8678,-1.0421629999999995
US-ONA,2020-01-25 21:00:00,106.9,94.2962,263.944,15.17593
US-ONA,2020-02-06 16:30:00,180.008,139.937,425.953,14.0808525
US-ONA,2020-03-28 20:30:00,152.067,211.117,488.404,26.59345
US-ONA,2020-04-01 18:30:00,278.044,307.667,713.367,20.9228625
US-ONA,2020-04-09 15:30:00,126.621,135.739,425.765,7.27679025
US-ONA,2020-04-13 14:00:00,125.255,126.756,301.444,2.48744875
US-ONA,2020-04-13 14:00:00,125.255,126.756,301.444,2.48744875
US-ONA,2020-05-26 21:00:00,197.647,114.46,526.893,30.5479
US-ONA,2020-05-30 19:30:00,241.425,128.646,549.93,42.075
US-ONA,2020-06-11 14:30:00,218.513,119.458,477.15,13.525
US-ONA,2020-06-15 13:00:00,93.8149,85.5222,238.63,-2.825
US-ONA,2020-07-31 19:00:00,375.541,168.376,622.59,38.2027
