,tower,lat,lon,time_UTC,date_UTC,time_solar,NDVI,NDVI-UQ,albedo,albedo-UQ,BESSinst,ESI,ESIdaily,ESIdailyUncertainty,ETdaily,ETdailyUncertainty,ETinstUncertainty,EmisWB,GPP,LST,LST_err,MOD16inst,PET,PTJPLSMcanopy,PTJPLSMinst,PTJPLSMinterception,PTJPLSMsoil,RH,Rg,Rn,SM,STICcanopy,STICinst,Ta,WUE,height,radiance_2,radiance_4,radiance_5,view_zenith
4,US-Ha2,42.5393,-72.1779,2020-04-20 11:54:42,2020-04-20,2020-04-20 07:05:59.304,0.6106119200000001,0.0050584179,0.04883077533333333,0.0050959866,0.0,0.0,1.0,0.0025199999,0.005,0.025199998,0.0,0.9540000000000001,5.579634899999999,305.3,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.6249678133333334,181.32154,0.0,0.27909068333333337,0.0,0.0,5.018812633333333,0.0,333.40325,9.642042666666667,9.680772333333332,8.746765333333334,28.30872066666667
7,US-Ha2,42.5393,-72.1779,2020-04-29 14:28:07,2020-04-29,2020-04-29 09:39:24.304,0.6204251133333333,0.12740909,0.10375236,0.12937629,165.9145,0.8938596099999999,1.0,0.00288,3.4474097666666665,0.028800000000000003,154.17594333333332,0.9533333333333333,3.7600442,272.82,0.96,579.9014066666666,356.61888666666664,0.6981479433333333,318.76948999999996,0.035003374,0.2667604433333333,0.45056942000000005,672.8393833333333,581.5569999999999,0.27576975000000004,0.27087253333333333,267.25264666666664,11.982691833333334,0.0,332.97131333333334,5.372734766666667,5.988110466666666,5.6144212,2.0675099333333335
13,US-Ha2,42.5393,-72.1779,2020-06-18 18:47:51,2020-06-18,2020-06-18 13:59:08.304,0.8956753900000001,0.009954087666666667,0.12422898466666667,0.010082202,292.55484333333334,0.8033468866666666,1.0,0.006000000000000001,4.830674883333333,0.06,149.96073800000002,0.9700000000000001,34.75785066666666,301.7866666666667,2.0,559.5580866666667,482.68017000000003,0.8730589566666667,387.64708333333334,0.11740213833333334,0.010181405499999999,0.55610828,728.0074500000001,560.5479633333333,0.15745344333333333,0.3384141866666666,159.42539799999997,26.258753333333335,0.0,331.84957333333335,8.77267,9.236425833333334,8.194757000000001,19.20130933333333
16,US-Ha2,42.5393,-72.1779,2020-06-19 18:00:02,2020-06-19,2020-06-19 13:11:19.304,0.8964849666666667,0.014853659,0.13334802333333332,0.015060183999999999,347.9766333333334,0.8138657666666665,0.9064001999999999,0.00528,2.4663010499999998,0.05279999999999999,152.57042166666665,0.9566666666666667,38.216364,299.0733333333333,1.76,638.78312,554.5094333333333,0.8819433533333333,452.0466633333333,0.10395502533333334,0.013963395566666667,0.5411138666666666,798.3737666666666,639.8151466666667,0.18246429,0.5454828733333333,266.61487273333336,26.623193333333333,0.0,332.38745,8.589627,9.048547666666666,7.998997,19.826798666666665
19,US-Ha2,42.5393,-72.1779,2020-06-21 11:31:41,2020-06-21,2020-06-21 06:42:58.304,0.9039447466666667,0.024649804,0.14250316,0.025010902,137.95013333333335,0.9148845533333333,1.0,0.00588,4.9392308,0.0588,15.836549,0.9673333333333334,17.033934333333335,294.32666666666665,1.96,157.21580666666668,124.99168833333333,0.34501627333333335,114.86423,0.6418601,0.011680948933333333,0.8782467033333333,248.18694666666667,157.38842666666667,0.19142236333333332,0.18114593,143.15174666666667,20.185597,0.0,334.5525,7.8615572,8.410898333333334,7.708656433333334,15.773947666666666
22,US-Ha2,42.5393,-72.1779,2020-06-22 17:13:10,2020-06-22,2020-06-22 12:24:27.304,0.8990739133333333,9.985982000000001e-05,0.056800946,9.991709e-05,11.486537666666665,0.8192703,1.0,0.00756,5.576100633333333,0.0756,233.13808666666668,0.9506666666666667,3.7988967666666666,305.8066666666667,2.52,648.9471133333333,570.2447933333334,0.8452096766666667,467.01892,0.14079421666666667,0.013431267333333335,0.5853198366666666,771.55105,650.11213,0.18437847,0.5806648766666668,334.83216,27.62410733333333,0.0,333.61566666666664,8.785769,9.201023666666666,8.061432333333334,17.234701
25,US-Ha2,42.5393,-72.1779,2020-06-23 16:25:09,2020-06-23,2020-06-23 11:36:26.304,0.9025428,0.0050468245,0.07566949,0.0050945436,113.06004666666666,0.8163907066666667,1.0,0.0063599995000000005,5.0925164333333335,0.063599996,287.58570333333336,0.9353333333333333,11.330677999999999,297.24,2.12,720.90938,637.4578366666666,0.8645764499999999,519.9407333333334,0.12272624666666666,0.011649758000000001,0.56449142,803.04093,722.2688333333334,0.18393953,0.20496696666666667,18.290301333333336,28.017891666666667,0.0,332.14366,8.284587,8.817279,7.653763533333333,21.535511
28,US-Ha2,42.5393,-72.1779,2020-07-04 12:28:49,2020-07-04,2020-07-04 07:40:06.304,0.5853198166666667,0.12863512000000002,0.12842523,0.12952365,214.24189,0.8282970399999999,1.0,0.00516,3.4886709833333334,0.051599998,44.345281666666665,0.9586666666666667,12.709342333333334,290.24,1.72,277.23295666666667,229.29776,0.3695984666666667,191.69969666666665,0.2756065433333333,0.3541056626666667,0.7915899333333334,430.3652233333333,328.3051566666667,0.19701906333333333,0.039336116666666664,280.6310466666667,18.373281333333335,0.0,332.69004333333334,7.449369133333334,8.034805166666667,7.290201866666667,11.240142666666666
31,US-Ha2,42.5393,-72.1779,2020-07-25 22:08:11,2020-07-25,2020-07-25 17:19:28.304,0.9181776333333334,0.12740912333333335,0.13480766,0.12938955,145.26469666666665,0.81385738,1.0,0.00492,6.052976833333333,0.0492,28.288707666666667,0.968,15.413957000000002,297.15333333333336,1.64,165.37864666666667,143.21509333333333,0.8528296466666667,116.5145,0.14112918,0.004945394566666666,0.58265712,245.97684333333333,165.50674333333333,0.17163815000000002,0.9116093,90.836426,26.057233999999998,0.0,333.8264933333333,8.444398833333333,8.945707333333333,8.0286195,7.641668633333334
34,US-Ha2,42.5393,-72.1779,2020-07-29 20:33:20,2020-07-29,2020-07-29 15:44:37.304,0.9184482900000001,0.12757922,0.13086593,0.12939134,24.60061,0.7951525,1.0,0.0063599995000000005,3.529772683333333,0.063599996,130.35506999999998,0.9646666666666667,2.8682436999999994,299.74,2.12,333.565,294.18983333333335,0.88536033,233.97223333333332,0.110002722,0.0029175657,0.5445221433333334,442.0371866666667,334.03812666666664,0.14287172,0.2821267333333333,78.66203116666667,27.696586666666665,0.0,333.89670666666666,8.540169333333333,9.040273333333333,7.957787633333333,5.566695966666667
